s1, s2, s3, o
3867,3803,3760,open
3915,3859,3814,open
3863,3809,3757,open
3872,3818,3786,open
3885,3824,3785,open
3888,3834,3760,open
3863,3807,3761,open
3913,3854,3810,open
3899,3840,3792,open
3886,3856,3809,open
3919,3859,3815,open
3920,3829,3794,open
3906,3850,3815,open
3847,3822,3750,open
3867,3821,3767,open
3877,3824,3753,open
3871,3817,3767,open
3887,3835,3819,open
3920,3859,3815,open
3882,3824,3793,open
3914,3854,3807,open
3887,3791,3760,open
3862,3817,3767,open
3910,3857,3804,open
3959,3869,3793,open
3911,3839,3824,open
3905,3847,3801,open
3904,3852,3809,open
3905,3846,3810,open
3914,3819,3810,open
3917,3866,3819,open
3888,3843,3799,open
3901,3841,3798,open
3888,3839,3798,open
3965,3851,3812,open
3959,3902,3841,open
3907,3846,3793,open
3927,3867,3824,open
3923,3871,3822,open
3919,3866,3814,open
3922,3867,3821,open
3920,3860,3820,open
3915,3854,3809,open
3899,3832,3798,open
3910,3855,3808,open
3890,3850,3806,open
3891,3885,3786,open
3920,3911,3812,open
3950,3872,3841,open
3920,3860,3817,open
3942,3870,3824,open
3919,3867,3824,open
3937,3867,3824,open
3916,3869,3819,open
3921,3867,3817,open
3919,3860,3818,open
3906,3851,3806,open
3952,3889,3795,open
3972,3863,3848,open
3922,3874,3867,open
3938,3873,3831,open
3893,3843,3797,open
3925,3872,3821,open
3908,3850,3799,open
3930,3871,3822,open
3901,3851,3797,open
3918,3867,3824,open
3898,3844,3813,open
3905,3847,3799,open
3901,3846,3790,open
3927,3845,3818,open
3925,3867,3874,open
3893,3833,3793,open
3895,3836,3792,open
3891,3838,3790,open
3901,3851,3802,open
3901,3847,3799,open
3919,3859,3831,open
3927,3871,3819,open
3754,3711,3937,open
3925,3874,3823,fist
3935,3857,3824,fist
3931,3886,3829,fist
3927,3863,3814,fist
3958,3903,3824,fist
3955,3905,3839,fist
3970,3882,3855,fist
3954,3903,3834,fist
3930,3870,3815,fist
3947,3888,3830,fist
3920,3857,3808,fist
3953,3889,3838,fist
3951,3888,3837,fist
3953,3884,3841,fist
3919,3859,3807,fist
3920,3856,3821,fist
3947,3870,3835,fist
3947,3885,3836,fist
3951,3887,3835,fist
3957,3888,3838,fist
3930,3873,3824,fist
3962,3894,3839,fist
3951,3885,3834,fist
3923,3858,3812,fist
3943,3887,3839,fist
3958,3888,3835,fist
3958,3903,3852,fist
3946,3880,3825,fist
3956,3888,3843,fist
3937,3874,3824,fist
3952,3888,3837,fist
3957,3895,3848,fist
3911,3846,3793,fist
3934,3861,3821,fist
3902,3855,3825,fist
3947,3919,3875,fist
3981,3938,3913,fist
3983,3951,3917,fist
3951,3920,3887,fist
3984,3937,3905,fist
3962,3895,3846,fist
3922,3857,3808,fist
3949,3877,3827,fist
3949,3907,3877,fist
3945,3907,3872,fist
3964,3920,3887,fist
3979,3949,3907,fist
3983,3937,3914,fist
3969,3939,3899,fist
3952,3911,3962,fist
3952,3925,3890,fist
3932,3907,3863,fist
4095,4048,3945,fist
3951,3912,3877,fist
4095,4095,4095,fist
4028,3963,3931,fist
3943,3913,3875,fist
4095,3777,3790,fist
3966,3923,3890,fist
4032,3984,3951,fist
3966,3934,3898,fist
4045,3998,3945,fist
3969,3983,3913,fist
4010,3977,3931,fist
3958,3909,3885,fist
3929,3895,3869,fist
4095,3722,4095,fist
4032,3984,3931,fist
3939,3911,3872,fist
3978,3935,3891,fist
3938,3899,3867,fist
4013,3965,3929,fist
3970,3939,3900,fist
3979,3927,3898,fist
3962,3931,3899,fist
3963,3903,3851,fist
3929,3875,3818,fist
3959,3899,3846,fist
3952,3895,3840,fist
3955,3892,3842,fist
3888,3835,3782,thumbsup
3878,3792,3772,thumbsup
3853,3799,3745,thumbsup
3901,3843,3789,thumbsup
3892,3834,3790,thumbsup
3901,3849,3762,thumbsup
3889,3842,3789,thumbsup
3888,3786,3743,thumbsup
3861,3798,3751,thumbsup
3906,3853,3791,thumbsup
3862,3811,3763,thumbsup
3859,3807,3763,thumbsup
4009,3937,3871,thumbsup
3839,3791,3742,thumbsup
3886,3824,3779,thumbsup
3997,3940,3867,thumbsup
3893,3854,3791,thumbsup
3821,3779,3745,thumbsup
3871,3823,3766,thumbsup
3986,3639,3645,thumbsup
3873,3823,3774,thumbsup
3856,3795,3743,thumbsup
3877,3819,3780,thumbsup
4043,3960,3907,thumbsup
3854,3797,3746,thumbsup
3547,3518,3478,thumbsup
3843,3794,3751,thumbsup
3775,3716,3799,thumbsup
4075,3984,3919,thumbsup
3856,3801,3759,thumbsup
3829,3769,3726,thumbsup
3837,3782,3735,thumbsup
3861,3792,3739,thumbsup
4000,3930,3883,thumbsup
3894,3831,3787,thumbsup
3865,3807,3774,thumbsup
3903,3834,3793,thumbsup
3849,3804,3770,thumbsup
3889,3833,3791,thumbsup
3903,3827,3792,thumbsup
3891,3831,3760,thumbsup
3897,3853,3794,thumbsup
3920,3858,3803,thumbsup
3856,3808,3760,thumbsup
3918,3851,3805,thumbsup
3843,3794,3746,thumbsup
3917,3824,3813,thumbsup
4026,3947,3860,thumbsup
3982,3760,3858,thumbsup
3856,3797,3759,thumbsup
3876,3831,3779,thumbsup
3882,3819,3776,thumbsup
3919,3867,3824,thumbsup
3907,3855,3821,thumbsup
3891,3837,3795,thumbsup
3867,3814,3771,thumbsup
3920,3856,3819,thumbsup
3887,3829,3786,thumbsup
3909,3858,3806,thumbsup
3888,3843,3796,thumbsup
3919,3866,3782,thumbsup
4095,4043,3978,thumbsup
3931,3872,3825,thumbsup
3927,3867,3827,thumbsup
3930,3855,3824,thumbsup
3891,3839,3797,thumbsup
3921,3859,3826,thumbsup
3926,3947,3879,thumbsup
3943,3897,3839,thumbsup
3967,3915,3856,thumbsup
3935,3888,3829,thumbsup
3949,3887,3830,thumbsup
3911,3844,3803,thumbsup
3954,3904,3834,thumbsup
3914,3855,3814,thumbsup
4065,4027,3920,thumbsup
3929,3881,3823,thumbsup
3952,3831,3783,thumbsup
3930,3879,3815,thumbsup
3900,3845,3789,thumbsup
3859,3797,3762,peace
3893,3807,3767,peace
3891,3840,3792,peace
3898,3840,3799,peace
3855,3805,3761,peace
3834,3793,3745,peace
3875,3820,3778,peace
3856,3808,3766,peace
3892,3831,3795,peace
3863,3839,3797,peace
3844,3809,3767,peace
4021,3952,3919,peace
3909,3970,3809,peace
3888,3839,3792,peace
3634,3611,3563,peace
3725,3675,3635,peace
3856,3799,3761,peace
3878,3831,3789,peace
3870,3826,3777,peace
3829,3785,3774,peace
3895,3840,3798,peace
3915,3855,3824,peace
3920,3825,3815,peace
3911,3858,3824,peace
3915,3858,3827,peace
3872,3830,3781,peace
3918,3857,3825,peace
3904,3858,3819,peace
3898,3839,3802,peace
3887,3842,3799,peace
4043,3994,3927,peace
3917,3866,3821,peace
3920,3871,3818,peace
3920,3901,3839,peace
3925,3876,3829,peace
3922,3868,3837,peace
3893,3849,3797,peace
3933,3885,3830,peace
3926,3872,3829,peace
3919,3883,3823,peace
3927,3873,3837,peace
3891,3842,3798,peace
3899,3829,3805,peace
3933,3882,3827,peace
3922,3861,3827,peace
3919,3866,3831,peace
3907,3858,3819,peace
3891,3818,3783,peace
3923,3861,3824,peace
3920,3880,3826,peace
3939,3868,3827,peace
3888,3844,3811,peace
3920,3869,3825,peace
3884,3824,3787,peace
3909,3853,3819,peace
3847,3801,3760,peace
3925,3870,3823,peace
3926,3859,3829,peace
3922,3866,3904,peace
3920,3873,3825,peace
3984,3918,3854,peace
3888,3839,3793,peace
4048,3961,3910,peace
3908,3858,3824,peace
3879,3843,3799,peace
3902,3837,3805,peace
3952,3888,3856,peace
3891,3847,3802,peace
3943,3888,3847,peace
3887,3837,3799,peace
3963,3920,3875,peace
3913,3855,3818,peace
3865,3824,3781,peace
3805,3759,3726,peace
3795,3749,3815,peace
3903,3843,3806,peace
3882,3895,3727,peace
3888,3836,3791,peace
3824,3899,3846,peace
3847,3785,3741,peace
3889,3825,3803,ok
3909,3845,3803,ok
3907,3856,3816,ok
3916,3856,3810,ok
3914,3867,3807,ok
3935,3869,3829,ok
3876,3824,3781,ok
3888,3834,3787,ok
3913,3856,3816,ok
3917,3863,3819,ok
3765,3938,3728,ok
4021,3952,3855,ok
3952,3898,3833,ok
3905,3865,3806,ok
3898,3851,3803,ok
3895,3853,3791,ok
3909,3856,3806,ok
3920,3867,3811,ok
3895,3839,3799,ok
3842,3792,3764,ok
3916,3870,3815,ok
3851,3888,3795,ok
3894,3842,3794,ok
3895,3853,3811,ok
3937,3871,3824,ok
3932,3881,3830,ok
3713,4048,3709,ok
3933,3888,3838,ok
3920,3935,3824,ok
3942,3882,3833,ok
3952,3857,3814,ok
4049,3989,3888,ok
3940,3879,3834,ok
3914,3853,3810,ok
3943,3878,3839,ok
3952,3883,3838,ok
3939,3876,3838,ok
3942,3879,3845,ok
3888,3837,3794,ok
3776,3743,3696,ok
3923,3870,3829,ok
3939,3878,3845,ok
3920,3851,3822,ok
3920,3863,3821,ok
3927,3867,3827,ok
3949,3885,3841,ok
3939,3875,3844,ok
3925,3856,3818,ok
3920,3874,3827,ok
3902,3847,3793,ok
3949,3881,3822,ok
3887,3841,3792,ok
4049,3987,3930,ok
3935,3882,3834,ok
3909,3847,3808,ok
3927,3871,3827,ok
4095,4009,3941,ok
3890,3838,3797,ok
3908,3842,3802,ok
3926,3869,3826,ok
3952,3889,3841,ok
3916,3861,3822,ok
3958,3892,3862,ok
3937,3875,3835,ok
3941,3891,3846,ok
3926,3872,3824,ok
3946,3890,3847,ok
3920,3871,3815,ok
3911,3856,3810,ok
3905,3855,3810,ok
3905,3852,3797,ok
3918,3865,3865,ok
3803,3777,3909,ok
3921,3857,3817,ok
3950,3888,3846,ok
3947,3893,3847,ok
3927,3875,3835,ok
3995,3978,3935,ok
3945,3889,3842,ok
3958,3889,3855,ok
